Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
127      5.37596146e-10   -8.00000000e-01   -7.99999744e-01    5.59824888e-02    1.00000000e+00    0.00000000e+00    5.59824888e-02    2.55972686e-10   -1.00000000e-03    5.59824888e-05
128      5.47596146e-10   -8.00000000e-01   -7.99999744e-01    5.59856726e-02    1.00000000e+00    0.00000000e+00    5.59856726e-02    2.56075745e-10   -1.00000000e-03    5.59856726e-05
129      5.57596146e-10   -8.00000000e-01   -7.99999744e-01    5.59882776e-02    1.00000000e+00    0.00000000e+00    5.59882776e-02    2.55980277e-10   -1.00000000e-03    5.59882776e-05
130      5.67596146e-10   -8.00000000e-01   -7.99999744e-01    5.59904090e-02    1.00000000e+00    0.00000000e+00    5.59904090e-02    2.56071547e-10   -1.00000000e-03    5.59904090e-05
131      5.77596146e-10   -8.00000000e-01   -7.99999744e-01    5.59921528e-02    1.00000000e+00    0.00000000e+00    5.59921528e-02    2.55987167e-10   -1.00000000e-03    5.59921528e-05
132      5.87596146e-10   -8.00000000e-01   -7.99999744e-01    5.59935796e-02    1.00000000e+00    0.00000000e+00    5.59935796e-02    2.56068007e-10   -1.00000000e-03    5.59935796e-05
133      5.97596146e-10   -8.00000000e-01   -7.99999744e-01    5.59947469e-02    1.00000000e+00    0.00000000e+00    5.59947469e-02    2.55993438e-10   -1.00000000e-03    5.59947469e-05
134      6.01000000e-10   -8.00000000e-01   -7.99999744e-01    5.59950927e-02    1.00000000e+00    0.00000000e+00    5.59950927e-02    2.56060695e-10   -1.00000000e-03    5.59950927e-05
135      6.01006250e-10   -7.90000000e-01   -7.99607280e-01    5.59950934e-02    1.00000000e+00    0.00000000e+00    5.59950934e-02   -9.60728017e-06   -1.00000000e-03    5.59950934e-05
136      6.01012500e-10   -7.80000000e-01   -7.98837755e-01    5.59950940e-02    1.00000000e+00    0.00000000e+00    5.59950940e-02   -1.88377554e-05   -1.00000000e-03    5.59950940e-05
137      6.01025000e-10   -7.60000000e-01   -7.96574180e-01    5.59950952e-02    1.00000000e+00    0.00000000e+00    5.59950952e-02   -3.65741805e-05   -1.00000000e-03    5.59950952e-05
138      6.01050000e-10   -7.20000000e-01   -7.88028212e-01    5.59950977e-02    1.00000000e+00    0.00000000e+00    5.59950977e-02   -6.80282123e-05   -1.00000000e-03    5.59950977e-05
