Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
28       1.00000000e-10    8.00000000e-01    7.99999977e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -2.25334536e-11   -1.00000000e-03   -5.60000000e-05
29       1.00006250e-10    7.90000000e-01    7.99607505e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    9.60750453e-06   -1.00000000e-03   -5.60000000e-05
30       1.00012500e-10    7.80000000e-01    7.98837971e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    1.88379710e-05   -1.00000000e-03   -5.60000000e-05
31       1.00025000e-10    7.60000000e-01    7.96574379e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    3.65743791e-05   -1.00000000e-03   -5.60000000e-05
32       1.00050000e-10    7.20000000e-01    7.88028381e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    6.80283810e-05   -1.00000000e-03   -5.60000000e-05
33       1.00075000e-10    6.80000000e-01    7.74731034e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    9.47310341e-05   -1.00000000e-03   -5.60000000e-05
34       1.00100000e-10    6.40000000e-01    7.57400063e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    1.17400063e-04   -1.00000000e-03   -5.60000000e-05
35       1.00125000e-10    6.00000000e-01    7.36644777e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    1.36644777e-04   -1.00000000e-03   -5.60000000e-05
36       1.00150000e-10    5.60000000e-01    7.12982441e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    1.52982441e-04   -1.00000000e-03   -5.60000000e-05
37       1.00175000e-10    5.20000000e-01    6.86852187e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    1.66852187e-04   -1.00000000e-03   -5.60000000e-05
38       1.00225000e-10    4.40000000e-01    6.28747700e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    1.88747700e-04   -1.00000000e-03   -5.60000000e-05
39       1.00275000e-10    3.60000000e-01    5.64492806e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    2.04492806e-04   -1.00000000e-03   -5.60000000e-05
40       1.00325000e-10    2.80000000e-01    4.95815145e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    2.15815145e-04   -1.00000000e-03   -5.60000000e-05
